"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2023 January","Hotel/conference centre","Thousand","121"
"Number of Overnight Trips by Foreign Visitors","2023 January","Guest house/bed & breakfast","Thousand","8.5"
"Number of Overnight Trips by Foreign Visitors","2023 January","Friends/relatives/own property","Thousand","243.4"
"Number of Overnight Trips by Foreign Visitors","2023 January","Self catering/rented house","Thousand","13.8"
"Number of Overnight Trips by Foreign Visitors","2023 January","Other private tourism accommodation n.e.c.","Thousand","13.4"
"Number of Overnight Trips by Foreign Visitors","2023 January","All types of accommodation","Thousand","400"
"Number of Overnight Trips by Foreign Visitors","2023 February","Hotel/conference centre","Thousand","142.9"
"Number of Overnight Trips by Foreign Visitors","2023 February","Guest house/bed & breakfast","Thousand","7.1"
"Number of Overnight Trips by Foreign Visitors","2023 February","Friends/relatives/own property","Thousand","156.3"
"Number of Overnight Trips by Foreign Visitors","2023 February","Self catering/rented house","Thousand","14.4"
"Number of Overnight Trips by Foreign Visitors","2023 February","Other private tourism accommodation n.e.c.","Thousand","16.3"
"Number of Overnight Trips by Foreign Visitors","2023 February","All types of accommodation","Thousand","337"
"Number of Overnight Trips by Foreign Visitors","2023 March","Hotel/conference centre","Thousand","191.2"
"Number of Overnight Trips by Foreign Visitors","2023 March","Guest house/bed & breakfast","Thousand","16.5"
"Number of Overnight Trips by Foreign Visitors","2023 March","Friends/relatives/own property","Thousand","171.4"
"Number of Overnight Trips by Foreign Visitors","2023 March","Self catering/rented house","Thousand","19.4"
"Number of Overnight Trips by Foreign Visitors","2023 March","Other private tourism accommodation n.e.c.","Thousand","26.7"
"Number of Overnight Trips by Foreign Visitors","2023 March","All types of accommodation","Thousand","425.2"
"Number of Overnight Trips by Foreign Visitors","2023 April","Hotel/conference centre","Thousand","181.8"
"Number of Overnight Trips by Foreign Visitors","2023 April","Guest house/bed & breakfast","Thousand","15.4"
"Number of Overnight Trips by Foreign Visitors","2023 April","Friends/relatives/own property","Thousand","220.3"
"Number of Overnight Trips by Foreign Visitors","2023 April","Self catering/rented house","Thousand","26.3"
"Number of Overnight Trips by Foreign Visitors","2023 April","Other private tourism accommodation n.e.c.","Thousand","18.1"
"Number of Overnight Trips by Foreign Visitors","2023 April","All types of accommodation","Thousand","461.9"
"Number of Overnight Trips by Foreign Visitors","2023 May","Hotel/conference centre","Thousand","234"
"Number of Overnight Trips by Foreign Visitors","2023 May","Guest house/bed & breakfast","Thousand","25.6"
"Number of Overnight Trips by Foreign Visitors","2023 May","Friends/relatives/own property","Thousand","241.7"
"Number of Overnight Trips by Foreign Visitors","2023 May","Self catering/rented house","Thousand","31.2"
"Number of Overnight Trips by Foreign Visitors","2023 May","Other private tourism accommodation n.e.c.","Thousand","40.8"
"Number of Overnight Trips by Foreign Visitors","2023 May","All types of accommodation","Thousand","573.3"
"Number of Overnight Trips by Foreign Visitors","2023 June","Hotel/conference centre","Thousand","286.2"
"Number of Overnight Trips by Foreign Visitors","2023 June","Guest house/bed & breakfast","Thousand","24.8"
"Number of Overnight Trips by Foreign Visitors","2023 June","Friends/relatives/own property","Thousand","231.7"
