Month,Main Accommodation Type,Number of Overnight Trips by Foreign Visitors (Thousand),Percentage of Overnight Trips by Foreign Visitors (%),Number of Nights by Foreign Visitors (Thousand),Percentage of Nights by Foreign Visitors (%),Average Length of Stay of Foreign Visitors (Nights per trip),Year
1,Hotel/conference centre,121.0,30.3,441.9,12.0,3.7,2023
1,Guest house/bed & breakfast,8.5,2.1,55.9,1.5,6.6,2023
1,Friends/relatives/own property,243.4,60.8,2701.9,73.1,11.1,2023
1,Self catering/rented house,13.8,3.4,154.8,4.2,11.2,2023
1,Other private tourism accommodation n.e.c.,13.4,3.3,341.6,9.2,25.5,2023
1,All types of accommodation,400.0,100.0,3696.2,100.0,9.2,2023
2,Hotel/conference centre,142.9,42.4,503.1,20.6,3.5,2023
2,Guest house/bed & breakfast,7.1,2.1,45.3,1.9,6.3,2023
2,Friends/relatives/own property,156.3,46.4,1249.0,51.1,8.0,2023
2,Self catering/rented house,14.4,4.3,355.9,14.6,24.8,2023
2,Other private tourism accommodation n.e.c.,16.3,4.8,290.0,11.9,17.8,2023
2,All types of accommodation,337.0,100.0,2443.3,100.0,7.3,2023
3,Hotel/conference centre,191.2,45.0,755.9,24.0,4.0,2023
3,Guest house/bed & breakfast,16.5,3.9,108.5,3.4,6.6,2023
3,Friends/relatives/own property,171.4,40.3,1272.2,40.5,7.4,2023
3,Self catering/rented house,19.4,4.6,186.1,5.9,9.6,2023
3,Other private tourism accommodation n.e.c.,26.7,6.3,821.3,26.1,30.8,2023
3,All types of accommodation,425.2,100.0,3144.1,100.0,7.4,2023
4,Hotel/conference centre,181.8,39.4,803.4,21.9,4.4,2023
4,Guest house/bed & breakfast,15.4,3.3,88.5,2.4,5.8,2023
4,Friends/relatives/own property,220.3,47.7,1904.8,51.9,8.6,2023
4,Self catering/rented house,26.3,5.7,387.0,10.6,14.7,2023
4,Other private tourism accommodation n.e.c.,18.1,3.9,483.8,13.2,26.7,2023
4,All types of accommodation,461.9,100.0,3667.5,100.0,7.9,2023
5,Hotel/conference centre,234.0,40.8,1148.0,25.6,4.9,2023
5,Guest house/bed & breakfast,25.6,4.5,171.0,3.8,6.7,2023
5,Friends/relatives/own property,241.7,42.2,1703.4,38.1,7.0,2023
5,Self catering/rented house,31.2,5.4,363.2,8.1,11.6,2023
5,Other private tourism accommodation n.e.c.,40.8,7.1,1090.4,24.4,26.7,2023
5,All types of accommodation,573.3,100.0,4476.1,100.0,7.8,2023
6,Hotel/conference centre,286.2,46.2,1497.1,33.1,5.2,2023
6,Guest house/bed & breakfast,24.8,4.0,235.7,5.2,9.5,2023
6,Friends/relatives/own property,231.7,37.4,1938.6,42.9,8.4,2023
6,Self catering/rented house,34.9,5.6,328.7,7.3,9.4,2023
6,Other private tourism accommodation n.e.c.,42.3,6.8,518.2,11.5,12.2,2023
6,All types of accommodation,619.9,100.0,4518.2,100.0,7.3,2023
